mean_length,genomes,chroms
3619.2586206896553,58,1
1882.603448275862,58,1
661.7037037037037,54,1
1130.0862068965516,58,1
1972.9649122807018,57,1
708.6724137931035,58,1
3979.0172413793102,58,1
3388.9655172413795,58,1
531.2631578947369,57,1
3444.3275862068967,58,1
3380.5,58,1
1661.3620689655172,58,1
670.6724137931035,58,1
4177.206896551724,58,1
10189.706896551725,58,1
796.0,3,1
1886.15,58,1
6766.71186440678,58,1
1847.2413793103449,58,1
2675.9310344827586,58,1
1344.2241379310344,58,1
1803.4310344827586,58,1
953.9655172413793,58,1
738.4,54,1
1004.542372881356,58,1
716.6166666666667,58,1
833.6896551724138,58,1
3245.293103448276,58,1
1750.3166666666666,58,1
1209.8620689655172,58,1
591.1304347826087,46,1
1479.6379310344828,58,1
1400.2105263157894,57,1
993.2857142857143,28,1
1260.5862068965516,58,1
1348.4827586206898,58,1
1828.4137931034484,58,1
647.2413793103449,58,1
3461.3898305084745,58,1
525.2372881355932,58,1
5117.169491525424,58,1
626.2586206896551,58,1
1116.0169491525423,58,1
950.85,58,1
933.6271186440678,58,1
939.0,58,1
610.8474576271186,58,1
1995.4655172413793,58,1
969.8275862068965,58,1
1472.9137931034484,58,1
1117.6896551724137,58,1
4478.879310344828,58,1
2065.8275862068967,58,1
525.8474576271186,58,1
1052.155172413793,58,1
3432.4137931034484,58,1
2318.2241379310344,58,1
4258.689655172414,58,1
1314.2068965517242,58,1
1828.5689655172414,58,1
962.5,58,1
1383.344827586207,58,1
5743.551724137931,58,1
1284.9137931034484,58,1
878.6896551724138,58,1
628.0,58,1
4464.741379310345,58,1
1014.25,4,1
1371.6379310344828,58,1
630.5166666666667,58,1
1303.0,58,1
3288.728813559322,58,1
2769.5,58,1
2579.491525423729,58,1
611.4406779661017,58,1
1142.4666666666667,58,1
2296.655172413793,58,1
2047.8620689655172,58,1
1161.3103448275863,58,1
719.8620689655172,29,1
4933.793103448276,58,1
851.68,24,1
549.8947368421053,30,1
941.9714285714285,27,1
1636.8620689655172,24,1
705.7537313432836,53,1
594.0645161290323,22,1
1059.6666666666667,17,1
945.4761904761905,15,1
1063.5,12,1
984.35,16,1
685.5555555555555,14,1
632.0428571428571,38,1
1282.5,2,1
1484.7777777777778,7,1
890.625,7,1
681.4285714285714,6,1
645.6666666666666,5,1
532.6363636363636,10,1
571.6666666666666,7,1
597.0,3,1
1410.25,12,1
669.2272727272727,41,1
670.4772727272727,41,1
5112.0,2,1
938.1428571428571,5,1
1385.75,7,1
682.375,7,1
531.1764705882352,28,1
819.7142857142857,24,1
557.4324324324324,25,1
1068.1666666666667,5,1
541.2222222222222,8,1
651.2631578947369,36,1
506.2413793103448,26,1
577.2666666666667,27,1
1669.0,26,1
693.0,3,1
556.0,3,1
549.0,5,1
504.5,10,1
540.4137931034483,29,1
1015.5,6,1
871.9772727272727,33,1
819.7111111111111,33,1
652.3333333333334,3,1
720.3809523809524,21,1
739.047619047619,21,1
651.5,25,1
678.7878787878788,24,1
941.25,4,1
861.8,23,1
768.6666666666666,2,1
3885.5,2,1
2702.0,2,1
588.4444444444445,17,1
780.125,16,1
500.0,11,1
594.0,10,1
2247.266666666667,11,1
578.3529411764706,13,1
590.7142857142857,22,1
838.7878787878788,24,1
742.09375,24,1
1019.71875,24,1
868.5806451612904,23,1
577.125,13,1
1272.4117647058824,30,1
1052.8666666666666,13,1
6514.733333333334,14,1
673.1063829787234,12,1
888.6176470588235,25,1
1659.5294117647059,17,1
507.57142857142856,7,1
1083.0,2,1
757.5625,16,1
529.7307692307693,26,1
1150.75,4,1
653.0,2,1
519.25,12,1
2403.8,12,1
916.4,12,1
1245.8,5,1
1164.4,8,1
1315.857142857143,7,1
574.0,7,1
959.0,7,1
1672.4,3,1
607.8,3,1
948.5,8,1
1905.5,8,1
1557.8,8,1
692.7777777777778,7,1
1617.0,8,1
1214.5,2,1
705.0,2,1
671.1538461538462,13,1
539.0,10,1
767.3,10,1
1406.0,13,1
725.4615384615385,12,1
912.0,12,1
1434.4782608695652,16,1
561.875,13,1
717.5,10,1
1297.5,6,1
4468.333333333333,9,1
2356.375,8,1
641.375,8,1
1498.4324324324325,21,1
1143.5,4,1
1101.0,4,1
1072.875,8,1
1825.8333333333333,15,1
623.6315789473684,16,1
942.75,4,1
604.3513513513514,24,1
707.6666666666666,6,1
610.5555555555555,9,1
557.2,5,1
1649.3333333333333,6,1
705.3571428571429,14,1
688.5128205128206,27,1
984.0,5,1
613.3333333333334,2,1
656.4285714285714,7,1
1437.625,16,1
700.2222222222222,9,1
868.5384615384615,13,1
1172.4583333333333,15,1
717.3333333333334,1,1
532.4166666666666,24,1
585.5,24,1
912.5714285714286,7,1
746.0,7,1
1670.5,28,1
615.3333333333334,27,1
653.4090909090909,22,1
1117.375,16,1
728.0,4,1
